# Таблица 2. Все MCP tools × сервер × категория (сырьё для annotations/outputSchema)

Чем получено: парсинг name+category из src/tools/generated-index.ts трёх серверов (авто-генерируемый индекс, источник — *.metadata.ts).
Каналы покрыты: все tools, попадающие в ToolRegistry через generated-index.
НЕ покрыто: SearchToolsTool (регистрируется рантаймом из @fractalizer/mcp-search, в индексе отсутствует) — +1 на сервер в lazy-режиме.

## yandex-tracker
fr_yandex_tracker_ping	SYSTEM
fr_yandex_tracker_get_issues	ISSUES
fr_yandex_tracker_create_issue	ISSUES
fr_yandex_tracker_find_issues	ISSUES
fr_yandex_tracker_update_issue	ISSUES
fr_yandex_tracker_get_issue_changelog	ISSUES
fr_yandex_tracker_get_issue_transitions	ISSUES
fr_yandex_tracker_transition_issue	ISSUES
fr_yandex_tracker_get_queues	QUEUES
fr_yandex_tracker_get_queue	QUEUES
fr_yandex_tracker_create_queue	QUEUES
fr_yandex_tracker_update_queue	QUEUES
fr_yandex_tracker_get_queue_fields	QUEUES
fr_yandex_tracker_manage_queue_access	QUEUES
fr_yandex_tracker_get_components	COMPONENTS
fr_yandex_tracker_create_component	COMPONENTS
fr_yandex_tracker_update_component	COMPONENTS
fr_yandex_tracker_delete_component	COMPONENTS
fr_yandex_tracker_get_issue_links	ISSUES
fr_yandex_tracker_create_link	ISSUES
fr_yandex_tracker_delete_link	ISSUES
fr_yandex_tracker_add_comment	COMMENTS
fr_yandex_tracker_get_comments	COMMENTS
fr_yandex_tracker_edit_comment	COMMENTS
fr_yandex_tracker_delete_comment	COMMENTS
fr_yandex_tracker_get_attachments	ISSUES
fr_yandex_tracker_upload_attachment	ISSUES
fr_yandex_tracker_download_attachment	ISSUES
fr_yandex_tracker_delete_attachment	ISSUES
fr_yandex_tracker_get_thumbnail	ISSUES
fr_yandex_tracker_get_checklist	CHECKLISTS
fr_yandex_tracker_add_checklist_item	CHECKLISTS
fr_yandex_tracker_update_checklist_item	CHECKLISTS
fr_yandex_tracker_delete_checklist_item	CHECKLISTS
fr_yandex_tracker_get_projects	PROJECTS
fr_yandex_tracker_get_project	PROJECTS
fr_yandex_tracker_create_project	PROJECTS
fr_yandex_tracker_update_project	PROJECTS
fr_yandex_tracker_delete_project	PROJECTS
fr_yandex_tracker_get_worklogs	ISSUES
fr_yandex_tracker_add_worklog	ISSUES
fr_yandex_tracker_update_worklog	ISSUES
fr_yandex_tracker_delete_worklog	ISSUES
fr_yandex_tracker_bulk_update_issues	ISSUES
fr_yandex_tracker_bulk_transition_issues	ISSUES
fr_yandex_tracker_bulk_move_issues	ISSUES
fr_yandex_tracker_get_bulk_change_status	ISSUES
fr_yandex_tracker_get_issue_urls	HELPERS
fr_yandex_tracker_demo	HELPERS
fr_yandex_tracker_raw_api_request	SYSTEM

## yandex-wiki
yw_ping	SYSTEM
yw_get_page	PAGES
yw_get_page_by_id	PAGES
yw_create_page	PAGES
yw_update_page	PAGES
yw_delete_page	PAGES
yw_clone_page	PAGES
yw_append_content	PAGES
yw_create_grid	GRIDS
yw_get_grid	GRIDS
yw_update_grid	GRIDS
yw_delete_grid	GRIDS
yw_clone_grid	GRIDS
yw_add_rows	GRIDS
yw_remove_rows	GRIDS
yw_move_rows	GRIDS
yw_add_columns	GRIDS
yw_remove_columns	GRIDS
yw_move_columns	GRIDS
yw_update_cells	GRIDS
yw_get_resources	RESOURCES
yw_raw_api_request	SYSTEM

## ticktick
fr_ticktick_ping	SYSTEM
fr_ticktick_get_projects	PROJECTS
fr_ticktick_get_project	PROJECTS
fr_ticktick_get_project_tasks	PROJECTS
fr_ticktick_create_project	PROJECTS
fr_ticktick_update_project	PROJECTS
fr_ticktick_delete_project	PROJECTS
fr_ticktick_get_task	TASKS
fr_ticktick_get_tasks	TASKS
fr_ticktick_get_all_tasks	TASKS
fr_ticktick_search_tasks	TASKS
fr_ticktick_get_tasks_by_priority	TASKS
fr_ticktick_create_task	TASKS
fr_ticktick_batch_create_tasks	TASKS
fr_ticktick_update_task	TASKS
fr_ticktick_complete_task	TASKS
fr_ticktick_delete_task	TASKS
fr_ticktick_get_tasks_due_today	TASKS
fr_ticktick_get_tasks_due_tomorrow	TASKS
fr_ticktick_get_tasks_due_in_days	TASKS
fr_ticktick_get_tasks_due_this_week	TASKS
fr_ticktick_get_overdue_tasks	TASKS
fr_ticktick_get_engaged_tasks	HELPERS
fr_ticktick_get_next_tasks	HELPERS
fr_ticktick_raw_api_request	SYSTEM

